cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age_log,concrete_compressive_strength
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,4.5217885770490405,56.5
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,2.0794415416798357,12.05
362.6,189.0,0.0,164.9,11.6,944.7,755.8,1.3862943611198906,35.3
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,4.61512051684126,53.9
250.0,0.0,95.7,191.8,5.3,948.9,857.2,4.04305126783455,39.64
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,3.367295829986474,39.38
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.367295829986474,57.03
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,2.0794415416798357,52.61
342.0,38.0,0.0,228.0,0.0,932.0,670.0,5.198497031265826,52.12
359.0,19.0,141.0,154.0,10.9,942.0,801.0,1.3862943611198906,23.64
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3.367295829986474,33.66
266.0,112.0,87.0,178.0,10.0,910.0,745.0,3.367295829986474,39.42
385.0,0.0,0.0,186.0,0.0,966.0,763.0,0.6931471805599453,6.27
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,2.70805020110221,25.62
158.0,0.0,195.0,220.0,11.0,898.0,713.0,3.367295829986474,8.54
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,3.367295829986474,17.54
300.0,0.0,120.0,212.0,10.0,878.0,728.0,3.367295829986474,23.84
273.0,105.0,82.0,210.0,9.0,904.0,680.0,3.367295829986474,37.17
266.0,114.0,0.0,228.0,0.0,932.0,670.0,5.902633333401366,52.91
284.0,15.0,141.0,179.0,5.5,842.0,801.0,4.04305126783455,44.52
491.0,26.0,123.0,210.0,3.9,882.0,699.0,4.04305126783455,59.59
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,2.0794415416798357,14.84
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3.367295829986474,17.96
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,1.3862943611198906,13.62
350.0,0.0,0.0,203.0,0.0,974.0,775.0,3.367295829986474,27.34
252.3,0.0,98.8,146.3,14.2,987.8,889.0,2.70805020110221,42.29
260.0,101.0,78.0,171.0,10.0,936.0,763.0,3.367295829986474,49.77
237.0,92.0,71.0,247.0,6.0,853.0,695.0,3.367295829986474,28.63
249.1,0.0,98.8,158.1,12.8,987.8,889.0,4.61512051684126,51.06
362.6,189.0,0.0,164.9,11.6,944.7,755.8,4.5217885770490405,79.3
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3.367295829986474,52.5
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,1.3862943611198906,41.64
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,4.61512051684126,45.84
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,2.70805020110221,35.96
295.7,0.0,95.6,171.5,8.9,955.1,859.2,2.70805020110221,35.23
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,4.795790545596741,39.38
147.0,115.0,89.0,202.0,9.0,860.0,829.0,3.367295829986474,19.99
158.4,0.0,194.9,219.7,11.0,897.7,712.9,3.367295829986474,8.54
491.0,26.0,123.0,201.0,3.9,822.0,699.0,2.0794415416798357,37.92
298.0,0.0,107.0,210.0,11.0,880.0,744.0,3.367295829986474,31.87
446.0,24.0,79.0,162.0,11.6,967.0,712.0,1.3862943611198906,35.36
425.0,106.3,0.0,151.4,18.6,936.0,803.7,4.04305126783455,64.9
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.367295829986474,28.02
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,2.0794415416798357,19.77
228.0,342.1,0.0,185.7,0.0,955.8,674.3,3.367295829986474,39.7
290.2,193.5,0.0,185.7,0.0,998.2,704.3,3.367295829986474,33.04
425.0,106.3,0.0,153.5,16.5,852.1,887.1,2.0794415416798357,49.2
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,2.0794415416798357,17.54
362.6,189.0,0.0,164.9,11.6,944.7,755.8,4.5217885770490405,79.3
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,3.367295829986474,22.44
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,2.70805020110221,22.32
337.9,189.0,0.0,174.9,9.5,944.7,755.8,4.04305126783455,59.89
145.0,0.0,179.0,202.0,8.0,824.0,869.0,3.367295829986474,10.54
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3.367295829986474,21.97
322.5,148.6,0.0,185.8,8.5,951.0,709.5,3.367295829986474,52.43
323.7,282.8,0.0,183.8,10.3,942.7,659.9,2.0794415416798357,49.8
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,4.04305126783455,47.13
304.0,76.0,0.0,228.0,0.0,932.0,670.0,5.602118820879701,54.38
350.0,0.0,0.0,203.0,0.0,974.0,775.0,4.51085950651685,31.35
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,1.3862943611198906,13.36
284.0,15.0,141.0,179.0,5.5,842.0,801.0,2.0794415416798357,24.13
266.0,114.0,0.0,228.0,0.0,932.0,670.0,3.367295829986474,45.85
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,1.3862943611198906,15.04
166.0,260.0,0.0,183.0,13.0,859.0,827.0,3.367295829986474,37.91
266.0,114.0,0.0,228.0,0.0,932.0,670.0,5.602118820879701,51.73
284.0,119.7,0.0,168.3,7.2,970.4,794.2,3.367295829986474,40.93
322.0,149.0,0.0,186.0,8.0,951.0,709.0,3.367295829986474,52.42
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.367295829986474,31.97
356.0,0.0,142.0,193.0,11.0,801.0,778.0,3.367295829986474,40.87
387.0,20.0,94.0,157.0,11.6,938.0,845.0,1.3862943611198906,34.77
332.5,142.5,0.0,228.0,0.0,932.0,594.0,5.198497031265826,39.78
318.8,212.5,0.0,155.7,14.3,852.1,880.4,2.0794415416798357,33.4
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3.367295829986474,20.59
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,3.367295829986474,17.96
190.0,190.0,0.0,228.0,0.0,932.0,670.0,5.198497031265826,46.93
424.0,22.0,132.0,168.0,8.9,822.0,750.0,1.3862943611198906,32.11
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.367295829986474,74.7
331.0,0.0,0.0,192.0,0.0,978.0,825.0,5.8888779583328805,41.24
304.0,76.0,0.0,228.0,0.0,932.0,670.0,4.51085950651685,49.19
310.0,0.0,0.0,192.0,0.0,970.0,850.0,5.8888779583328805,38.11
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,1.3862943611198906,15.34
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,2.70805020110221,38.6
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,2.0794415416798357,10.73
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,1.3862943611198906,21.29
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,5.198497031265826,51.04
380.0,95.0,0.0,228.0,0.0,932.0,594.0,5.602118820879701,41.15
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,1.3862943611198906,7.75
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,5.198497031265826,44.21
389.9,189.0,0.0,145.9,22.0,944.7,755.8,4.5217885770490405,82.6
424.0,22.0,132.0,178.0,8.5,822.0,750.0,2.0794415416798357,39.0
516.0,0.0,0.0,162.0,8.3,801.0,802.0,3.367295829986474,41.37
222.4,0.0,96.7,189.3,4.5,967.1,870.3,1.3862943611198906,11.58
192.0,288.0,0.0,192.0,0.0,929.8,716.1,2.0794415416798357,21.48
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3.367295829986474,27.87
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,3.367295829986474,24.85
298.0,137.0,107.0,201.0,6.0,878.0,655.0,3.367295829986474,53.52
132.0,206.5,160.9,178.9,5.5,866.9,735.6,3.367295829986474,33.31
279.8,128.9,100.4,172.4,9.5,825.1,804.9,3.367295829986474,52.83
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,4.51085950651685,39.36
146.0,230.0,0.0,202.0,3.0,827.0,872.0,3.367295829986474,33.06
144.8,0.0,133.6,180.8,11.1,979.5,811.5,3.367295829986474,13.2
259.9,100.6,78.4,170.6,10.4,935.7,762.9,3.367295829986474,49.77
298.1,0.0,107.5,163.6,12.8,953.2,784.0,3.367295829986474,35.87
425.0,106.3,0.0,153.5,16.5,852.1,887.1,2.0794415416798357,49.2
446.0,24.0,79.0,162.0,10.3,967.0,712.0,3.367295829986474,53.39
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1.3862943611198906,14.7
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,2.70805020110221,36.94
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,2.0794415416798357,24.0
116.0,173.0,0.0,192.0,0.0,909.8,891.9,1.3862943611198906,6.28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,1.3862943611198906,35.3
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3.367295829986474,51.33
159.0,187.0,0.0,176.0,11.0,990.0,789.0,3.367295829986474,32.76
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,3.367295829986474,36.8
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,2.70805020110221,26.77
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,4.61512051684126,58.61
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,3.367295829986474,18.29
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,1.3862943611198906,15.87
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,4.04305126783455,48.59
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,3.367295829986474,25.18
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,3.367295829986474,37.42
166.0,259.7,0.0,183.2,12.7,858.8,826.8,3.367295829986474,37.92
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,1.3862943611198906,13.12
190.0,190.0,0.0,228.0,0.0,932.0,670.0,5.602118820879701,50.66
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,2.0794415416798357,30.96
401.8,94.7,0.0,147.4,11.4,946.8,852.1,2.0794415416798357,54.1
249.1,0.0,98.8,158.1,12.8,987.8,889.0,2.70805020110221,28.68
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,2.70805020110221,25.37
239.6,359.4,0.0,185.7,0.0,941.6,664.3,3.367295829986474,39.44
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,1.3862943611198906,21.91
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,2.0794415416798357,15.69
250.0,0.0,95.7,187.4,5.5,956.9,861.2,4.61512051684126,42.35
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,4.04305126783455,42.7
153.0,145.0,0.0,178.0,8.0,1000.0,822.0,3.367295829986474,19.01
236.0,0.0,0.0,193.0,0.0,968.0,885.0,5.902633333401366,25.08
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,5.8888779583328805,42.13
339.0,0.0,0.0,197.0,0.0,968.0,781.0,1.3862943611198906,13.22
136.0,196.0,98.0,199.0,6.0,847.0,783.0,3.367295829986474,26.97
305.0,0.0,100.0,196.0,10.0,959.0,705.0,3.367295829986474,30.12
164.0,163.0,128.0,197.0,8.0,961.0,641.0,3.367295829986474,27.23
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,2.70805020110221,33.01
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,4.51085950651685,35.76
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3.367295829986474,25.72
250.0,0.0,95.7,187.4,5.5,956.9,861.2,2.70805020110221,24.92
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3.367295829986474,46.39
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,4.61512051684126,37.34
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,2.0794415416798357,42.8
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3.367295829986474,32.66
154.0,144.0,112.0,220.0,10.0,923.0,658.0,3.367295829986474,16.5
385.0,0.0,136.0,158.0,20.0,903.0,768.0,3.367295829986474,55.55
380.0,95.0,0.0,228.0,0.0,932.0,594.0,4.51085950651685,40.56
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3.367295829986474,41.41
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3.367295829986474,39.32
304.8,0.0,99.6,196.0,9.8,959.4,705.2,3.367295829986474,30.12
143.0,169.4,142.7,190.7,8.4,967.4,643.5,3.367295829986474,29.73
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,2.0794415416798357,42.42
339.0,0.0,0.0,197.0,0.0,968.0,781.0,5.198497031265826,36.45
318.8,212.5,0.0,155.7,14.3,852.1,880.4,1.3862943611198906,25.2
262.0,111.0,86.0,195.0,5.0,895.0,733.0,3.367295829986474,33.72
194.7,0.0,100.5,170.2,7.5,998.0,901.8,4.04305126783455,43.39
305.3,203.5,0.0,203.5,0.0,965.4,631.0,2.0794415416798357,25.89
136.4,161.6,125.8,171.6,10.4,922.6,764.4,3.367295829986474,29.07
380.0,95.0,0.0,228.0,0.0,932.0,594.0,5.902633333401366,43.7
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3.367295829986474,32.72
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3.367295829986474,38.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,1.3862943611198906,33.4
237.5,237.5,0.0,228.0,0.0,932.0,594.0,5.902633333401366,39.0
307.0,0.0,0.0,193.0,0.0,968.0,812.0,1.3862943611198906,12.54
362.6,189.0,0.0,164.9,11.6,944.7,755.8,4.5217885770490405,79.3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,2.0794415416798357,32.82
295.7,0.0,95.6,171.5,8.9,955.1,859.2,4.61512051684126,52.04
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,1.3862943611198906,14.99
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,3.367295829986474,26.86
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3.367295829986474,24.29
314.0,145.3,113.2,178.9,8.0,869.1,690.2,3.367295829986474,46.23
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3.367295829986474,24.48
304.0,76.0,0.0,228.0,0.0,932.0,670.0,5.198497031265826,50.95
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3.367295829986474,28.47
385.0,0.0,0.0,186.0,0.0,966.0,763.0,2.0794415416798357,23.22
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,2.0794415416798357,7.84
303.6,139.9,0.0,213.5,6.2,895.5,722.5,3.367295829986474,33.42
145.0,116.0,119.0,184.0,5.7,833.0,880.0,3.367295829986474,29.16
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.367295829986474,25.57
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,4.5217885770490405,66.6
531.3,0.0,0.0,141.8,28.2,852.1,893.7,1.3862943611198906,41.3
332.5,142.5,0.0,228.0,0.0,932.0,594.0,4.51085950651685,37.72
255.0,0.0,0.0,192.0,0.0,889.8,945.0,2.0794415416798357,10.22
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,5.198497031265826,61.92
273.0,0.0,90.0,199.0,11.0,931.0,762.0,3.367295829986474,32.24
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,4.04305126783455,45.08
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,1.3862943611198906,19.52
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,2.70805020110221,33.73
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,2.0794415416798357,38.0
312.9,160.5,0.0,177.6,9.6,916.6,759.5,3.367295829986474,52.45
265.0,111.0,86.0,195.0,6.0,833.0,790.0,3.367295829986474,41.54
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,4.04305126783455,31.35
284.0,15.0,141.0,179.0,5.5,842.0,801.0,3.367295829986474,43.73
331.0,0.0,0.0,192.0,0.0,978.0,825.0,4.51085950651685,37.23
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3.367295829986474,47.4
388.6,97.1,0.0,157.9,12.1,852.1,925.7,4.5217885770490405,57.6
261.9,110.5,86.1,195.4,5.0,895.2,732.6,3.367295829986474,33.72
325.6,166.4,0.0,174.0,8.9,881.6,790.0,3.367295829986474,61.24
500.0,0.0,0.0,140.0,4.0,966.0,853.0,3.367295829986474,67.57
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.367295829986474,55.5
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,2.70805020110221,19.42
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,3.367295829986474,37.43
151.6,0.0,111.9,184.4,7.9,992.0,815.9,3.367295829986474,12.18
194.7,0.0,100.5,170.2,7.5,998.0,901.8,1.3862943611198906,12.18
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,4.61512051684126,49.99
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,4.04305126783455,34.2
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,2.0794415416798357,18.13
356.0,119.0,0.0,160.0,9.0,1061.0,657.0,3.367295829986474,59.0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,4.51085950651685,38.07
321.0,0.0,128.0,182.0,11.0,870.0,780.0,3.367295829986474,37.26
491.0,26.0,123.0,210.0,3.9,882.0,699.0,1.3862943611198906,25.61
531.3,0.0,0.0,141.8,28.2,852.1,893.7,4.04305126783455,58.8
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3.367295829986474,33.95
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,3.367295829986474,20.87
237.5,237.5,0.0,228.0,0.0,932.0,594.0,3.367295829986474,30.08
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,2.70805020110221,59.76
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,4.61512051684126,44.21
322.0,0.0,116.0,196.0,10.0,818.0,813.0,3.367295829986474,31.18
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,4.51085950651685,39.49
164.0,0.0,200.0,181.0,13.0,849.0,846.0,3.367295829986474,15.09
425.0,106.3,0.0,153.5,16.5,852.1,887.1,1.3862943611198906,33.4
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,3.367295829986474,19.69
350.0,0.0,0.0,203.0,0.0,974.0,775.0,5.198497031265826,32.72
153.1,145.0,113.0,178.5,8.0,867.2,824.0,3.367295829986474,26.23
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,2.0794415416798357,17.44
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,4.61512051684126,63.53
277.0,0.0,0.0,191.0,0.0,968.0,856.0,5.198497031265826,32.33
480.0,0.0,0.0,192.0,0.0,936.2,712.2,4.51085950651685,54.32
375.0,93.8,0.0,126.6,23.4,852.1,992.6,2.0794415416798357,45.7
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.367295829986474,56.7
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3.367295829986474,62.94
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,3.367295829986474,17.6
238.1,0.0,94.1,186.7,7.0,949.9,847.0,4.04305126783455,39.59
491.0,26.0,123.0,201.0,3.9,822.0,699.0,4.04305126783455,61.86
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.367295829986474,68.5
